timestamp,channel,action,payload
1772984956339,CH1,POWER (Simulated),2.890
1772984957340,CH1,POWER (Simulated),2.589
1772984958340,CH1,POWER (Simulated),3.839
1772984959339,CH1,POWER (Simulated),0.301
1772984960340,CH1,POWER (Simulated),4.105
1772984961340,CH1,POWER (Simulated),3.724
1772984961576,CH1,MESSAGE,"{""channelId"":""CH1"",""message"":""start,run_id=363D58B5E70303A2,test=APX1090-queryA.sql,loop=1/3,runs=100"",""timestamp"":1772984961576}"
1772984962339,CH1,POWER (Simulated),3.026
1772984963339,CH1,POWER (Simulated),2.598
1772984964339,CH1,POWER (Simulated),3.016
1772984965339,CH1,POWER (Simulated),1.234
1772984966339,CH1,POWER (Simulated),3.927
1772984967339,CH1,POWER (Simulated),2.223
1772984968339,CH1,POWER (Simulated),1.407
1772984969340,CH1,POWER (Simulated),3.026
1772984970340,CH1,POWER (Simulated),4.623
1772984971339,CH1,POWER (Simulated),1.160
1772984972339,CH1,POWER (Simulated),4.136
1772984973339,CH1,POWER (Simulated),2.570
1772984974339,CH1,POWER (Simulated),2.871
1772984975339,CH1,POWER (Simulated),4.465
1772984976339,CH1,POWER (Simulated),4.573
1772984977339,CH1,POWER (Simulated),4.541
1772984978340,CH1,POWER (Simulated),4.697
1772984979340,CH1,POWER (Simulated),3.926
1772984980339,CH1,POWER (Simulated),4.215
1772984981339,CH1,POWER (Simulated),3.743
1772984982339,CH1,POWER (Simulated),2.189
1772984983339,CH1,POWER (Simulated),2.639
1772984984339,CH1,POWER (Simulated),1.591
1772984985339,CH1,POWER (Simulated),4.253
1772984986339,CH1,POWER (Simulated),0.842
1772984987339,CH1,POWER (Simulated),2.855
1772984988339,CH1,POWER (Simulated),2.799
1772984989339,CH1,POWER (Simulated),0.646
1772984990339,CH1,POWER (Simulated),1.377
1772984991339,CH1,POWER (Simulated),2.733
1772984992339,CH1,POWER (Simulated),2.455
1772984993340,CH1,POWER (Simulated),2.479
1772984994339,CH1,POWER (Simulated),3.433
1772984995339,CH1,POWER (Simulated),0.408
1772984996339,CH1,POWER (Simulated),2.834
1772984997339,CH1,POWER (Simulated),0.562
1772984998339,CH1,POWER (Simulated),4.612
1772984999339,CH1,POWER (Simulated),4.692
1772985000340,CH1,POWER (Simulated),2.529
1772985001340,CH1,POWER (Simulated),0.865
1772985002339,CH1,POWER (Simulated),2.002
1772985003339,CH1,POWER (Simulated),3.380
1772985004339,CH1,POWER (Simulated),0.343
1772985005339,CH1,POWER (Simulated),3.110
1772985006339,CH1,POWER (Simulated),3.375
1772985007339,CH1,POWER (Simulated),2.409
1772985008339,CH1,POWER (Simulated),4.360
1772985009339,CH1,POWER (Simulated),2.827
1772985010339,CH1,POWER (Simulated),3.116
1772985011339,CH1,POWER (Simulated),0.750
1772985012339,CH1,POWER (Simulated),3.244
1772985013339,CH1,POWER (Simulated),4.683
1772985014340,CH1,POWER (Simulated),0.993
1772985015340,CH1,POWER (Simulated),2.062
1772985016339,CH1,POWER (Simulated),2.804
1772985017339,CH1,POWER (Simulated),1.989
1772985018339,CH1,POWER (Simulated),3.632
1772985019339,CH1,POWER (Simulated),2.284
1772985020339,CH1,POWER (Simulated),3.644
1772985021339,CH1,POWER (Simulated),4.849
1772985022339,CH1,POWER (Simulated),2.231
1772985023339,CH1,POWER (Simulated),0.202
1772985024339,CH1,POWER (Simulated),0.645
1772985025339,CH1,POWER (Simulated),3.651
1772985026340,CH1,POWER (Simulated),4.934
1772985027339,CH1,POWER (Simulated),2.636
1772985028339,CH1,POWER (Simulated),3.629
1772985029339,CH1,POWER (Simulated),4.258
1772985030339,CH1,POWER (Simulated),0.859
1772985031340,CH1,POWER (Simulated),1.729
1772985032340,CH1,POWER (Simulated),2.720
1772985033339,CH1,POWER (Simulated),4.641
1772985034339,CH1,POWER (Simulated),1.031
1772985035339,CH1,POWER (Simulated),0.487
1772985036339,CH1,POWER (Simulated),1.222
1772985037339,CH1,POWER (Simulated),3.502
1772985038339,CH1,POWER (Simulated),3.833
1772985039339,CH1,POWER (Simulated),2.929
1772985040339,CH1,POWER (Simulated),1.646
1772985041339,CH1,POWER (Simulated),2.823
1772985042339,CH1,POWER (Simulated),1.173
1772985043339,CH1,POWER (Simulated),1.088
1772985044339,CH1,POWER (Simulated),0.360
1772985045339,CH1,POWER (Simulated),0.231
1772985046339,CH1,POWER (Simulated),4.905
1772985047340,CH1,POWER (Simulated),3.117
1772985048340,CH1,POWER (Simulated),1.902
1772985049339,CH1,POWER (Simulated),3.730
1772985050339,CH1,POWER (Simulated),2.037
1772985051339,CH1,POWER (Simulated),0.451
1772985052339,CH1,POWER (Simulated),4.212
1772985053339,CH1,POWER (Simulated),1.609
1772985054339,CH1,POWER (Simulated),0.330
1772985055339,CH1,POWER (Simulated),4.242
1772985056339,CH1,POWER (Simulated),3.849
1772985057339,CH1,POWER (Simulated),3.415
1772985058339,CH1,POWER (Simulated),0.316
1772985059339,CH1,POWER (Simulated),4.569
1772985060339,CH1,POWER (Simulated),3.050
1772985061339,CH1,POWER (Simulated),0.846
1772985062339,CH1,POWER (Simulated),4.392
1772985063339,CH1,POWER (Simulated),0.201
1772985064339,CH1,POWER (Simulated),2.301
1772985065339,CH1,POWER (Simulated),2.670
1772985066339,CH1,POWER (Simulated),2.422
1772985067339,CH1,POWER (Simulated),3.913
1772985068339,CH1,POWER (Simulated),3.550
1772985069339,CH1,POWER (Simulated),4.481
1772985070339,CH1,POWER (Simulated),3.407
1772985071339,CH1,POWER (Simulated),4.755
1772985072339,CH1,POWER (Simulated),1.121
1772985073339,CH1,POWER (Simulated),4.556
1772985074339,CH1,POWER (Simulated),4.027
1772985075339,CH1,POWER (Simulated),4.806
1772985076339,CH1,POWER (Simulated),1.841
1772985077339,CH1,POWER (Simulated),4.703
1772985078339,CH1,POWER (Simulated),3.459
1772985079340,CH1,POWER (Simulated),3.544
1772985080340,CH1,POWER (Simulated),2.428
1772985081340,CH1,POWER (Simulated),4.004
1772985081467,CH1,MESSAGE,"{""channelId"":""CH1"",""message"":""end,run_id=363D58B5E70303A2,test=APX1090-queryA.sql,loop=1/3,runs=100,elapsed_sec=119.876291,failures=0"",""timestamp"":1772985081467}"
1772985082340,CH1,POWER (Simulated),2.525
1772985083339,CH1,POWER (Simulated),1.806
1772985084340,CH1,POWER (Simulated),3.625
1772985085339,CH1,POWER (Simulated),3.692
1772985086339,CH1,POWER (Simulated),4.581
1772985087340,CH1,POWER (Simulated),2.090
1772985088339,CH1,POWER (Simulated),2.280
1772985089340,CH1,POWER (Simulated),1.284
1772985090339,CH1,POWER (Simulated),4.086
1772985091339,CH1,POWER (Simulated),3.883
1772985092340,CH1,POWER (Simulated),4.649
1772985093339,CH1,POWER (Simulated),3.289
1772985094339,CH1,POWER (Simulated),0.413
1772985095340,CH1,POWER (Simulated),3.552
1772985096339,CH1,POWER (Simulated),3.639
1772985097340,CH1,POWER (Simulated),3.227
1772985098340,CH1,POWER (Simulated),3.492
1772985099339,CH1,POWER (Simulated),3.060
1772985100340,CH1,POWER (Simulated),4.638
1772985101339,CH1,POWER (Simulated),0.126
1772985102340,CH1,POWER (Simulated),0.145
1772985103340,CH1,POWER (Simulated),3.795
1772985104339,CH1,POWER (Simulated),1.382
1772985105340,CH1,POWER (Simulated),0.131
1772985106339,CH1,POWER (Simulated),1.745
1772985107340,CH1,POWER (Simulated),3.586
1772985108340,CH1,POWER (Simulated),1.642
1772985109339,CH1,POWER (Simulated),3.557
1772985110340,CH1,POWER (Simulated),3.898
1772985111339,CH1,POWER (Simulated),4.742
1772985111488,CH1,MESSAGE,"{""channelId"":""CH1"",""message"":""start,run_id=363D58B5E70303A2,test=APX1090-queryA.sql,loop=2/3,runs=100"",""timestamp"":1772985111488}"
1772985112339,CH1,POWER (Simulated),4.385
1772985113339,CH1,POWER (Simulated),1.438
1772985114339,CH1,POWER (Simulated),2.318
1772985115339,CH1,POWER (Simulated),1.911
1772985116339,CH1,POWER (Simulated),4.010
1772985117339,CH1,POWER (Simulated),2.325
1772985118339,CH1,POWER (Simulated),1.228
1772985119339,CH1,POWER (Simulated),1.655
1772985120339,CH1,POWER (Simulated),0.470
1772985121339,CH1,POWER (Simulated),1.958
1772985122339,CH1,POWER (Simulated),4.409
1772985123339,CH1,POWER (Simulated),3.366
1772985124339,CH1,POWER (Simulated),1.064
1772985125339,CH1,POWER (Simulated),3.739
1772985126339,CH1,POWER (Simulated),4.579
1772985127339,CH1,POWER (Simulated),0.909
1772985128339,CH1,POWER (Simulated),4.929
1772985129339,CH1,POWER (Simulated),3.285
1772985130339,CH1,POWER (Simulated),4.023
1772985131339,CH1,POWER (Simulated),2.657
1772985132339,CH1,POWER (Simulated),2.676
1772985133339,CH1,POWER (Simulated),2.043
1772985134339,CH1,POWER (Simulated),2.936
1772985135339,CH1,POWER (Simulated),3.746
1772985136339,CH1,POWER (Simulated),1.453
1772985137340,CH1,POWER (Simulated),4.903
1772985138339,CH1,POWER (Simulated),2.671
1772985139339,CH1,POWER (Simulated),0.831
1772985140339,CH1,POWER (Simulated),0.640
